Symbol, Total Value, Profitable Value, Giveaway Value, Best Future Value, earningsQuarterlyGrowth, priceToBook, forwardPE, pegRatio, 52WeekChange, marketPrice, Industry, earningsDate, recommendation
CDW,1014,252,241,225,-0.042,15.069756,19.536621,2.13,-0.07100719,131.71,Technology,2/3/2021, 6:00:00 PM,{"period":"0m","strongBuy":5,"buy":5,"hold":3,"sell":1,"strongSell":0}
AVY,1015,219,43,257,0.041,9.379728,20.863699,2.48,0.14677775,150.8,Industrials,1/26/2021, 6:00:00 PM,{"period":"0m","strongBuy":3,"buy":2,"hold":4,"sell":0,"strongSell":0}
GOOG,1019,70,33,362,0.591,5.6713743,29.094872,2.07,0.30899882,1775.33,Communication Services,undefined,{"period":"0m","strongBuy":2,"buy":3,"hold":0,"sell":0,"strongSell":0}
ADM,1023,367,7,127,-0.447,1.433299,13.797785,3.21,0.08329713,49.2,Consumer Defensive,1/26/2021, 6:00:00 PM,{"period":"0m","strongBuy":1,"buy":1,"hold":12,"sell":1,"strongSell":1}
HAS,1023,224,222,238,0.037,4.3967986,19.910515,3.1,-0.12966949,88.68,Consumer Cyclical,2/8/2021, 6:00:00 PM,{"period":"0m","strongBuy":4,"buy":3,"hold":7,"sell":0,"strongSell":0}
BLL,1024,25,45,346,1.62,10.489463,27.718565,2.3,0.44724095,93.26,Consumer Cyclical,2/3/2021, 6:00:00 PM,{"period":"0m","strongBuy":3,"buy":4,"hold":6,"sell":0,"strongSell":0}
DFS,1038,238,150,64,0.001,2.781629,11.370572,38.53,-0.03099966,84.16,Financial Services,1/20/2021, 6:00:00 PM,{"period":"0m","strongBuy":8,"buy":8,"hold":8,"sell":1,"strongSell":0}
BLK,1039,143,92,235,0.219,3.1297975,19.800627,2.04,0.3847227,698.41,Financial Services,1/12/2021, 6:00:00 PM,{"period":"0m","strongBuy":3,"buy":9,"hold":3,"sell":0,"strongSell":0}
DE,1040,214,168,172,0.05,6.2098184,16.53329,0.75,0.47972226,253.45,Industrials,2/18/2021, 6:00:00 PM,{"period":"0m","strongBuy":4,"buy":3,"hold":14,"sell":1,"strongSell":0}
TRV,1042,37,443,95,1.088,1.2274319,12.913876,3.5,-0.00903213,136.71,Financial Services,1/20/2021, 6:00:00 PM,{"period":"0m","strongBuy":4,"buy":2,"hold":13,"sell":2,"strongSell":1}
ADP,1043,225,49,342,0.034,12.824625,27.413902,2.76,0.029301882,172,Industrials,1/26/2021, 6:00:00 PM,{"period":"0m","strongBuy":2,"buy":0,"hold":16,"sell":0,"strongSell":0}
IQV,1048,52,284,265,0.772,5.502689,21.37707,2.02,0.14522624,168.47,Healthcare,2/9/2021, 6:00:00 PM,{"period":"0m","strongBuy":4,"buy":5,"hold":8,"sell":0,"strongSell":0}
ALLE,1049,179,47,296,0.116,12.26413,23.216103,23.52,-0.09929311,110.65,Industrials,2/15/2021, 6:00:00 PM,{"period":"0m","strongBuy":3,"buy":4,"hold":3,"sell":0,"strongSell":0}
SEE,1050,41,439,130,0.971,283.35443,13.947041,1.85,0.16014516,45.4,Consumer Cyclical,2/8/2021, 6:00:00 PM,{"period":"0m","strongBuy":2,"buy":6,"hold":7,"sell":0,"strongSell":0}
AXP,1057,356,26,199,-0.389,4.4257526,17.759232,3.98,-0.027894557,121.84,Financial Services,1/21/2021, 6:00:00 PM,{"period":"0m","strongBuy":6,"buy":4,"hold":16,"sell":2,"strongSell":0}
K,1062,94,290,148,0.409,7.0133243,15.488777,8.7,-0.06291491,61.98,Consumer Defensive,2/3/2021, 6:00:00 PM,{"period":"0m","strongBuy":2,"buy":1,"hold":15,"sell":2,"strongSell":1}
PKI,1063,17,349,187,2.018,5.056775,17.184708,0.99,0.526811,145.91,Healthcare,1/24/2021, 6:00:00 PM,{"period":"0m","strongBuy":3,"buy":2,"hold":7,"sell":2,"strongSell":0}
MMM,1064,272,41,210,-0.107,8.449213,18.375923,5.08,0.019150853,173.49,Industrials,1/25/2021, 6:00:00 PM,{"period":"0m","strongBuy":4,"buy":1,"hold":7,"sell":3,"strongSell":0}
AEE,1066,235,13,248,0.008,2.2559042,20.549072,6.39,0.022571206,77.34,Utilities,2/17/2021, 6:00:00 PM,{"period":"0m","strongBuy":2,"buy":0,"hold":6,"sell":1,"strongSell":0}
HSY,1075,105,237,284,0.375,15.022164,22.695585,3.14,0.015874147,149.7,Consumer Defensive,1/27/2021, 6:00:00 PM,{"period":"0m","strongBuy":3,"buy":2,"hold":12,"sell":2,"strongSell":0}
GIS,1080,140,220,161,0.227,4.294194,16.07588,3.32,0.13249326,58.87,Consumer Defensive,12/16/2020, 6:00:00 PM,{"period":"0m","strongBuy":1,"buy":1,"hold":15,"sell":3,"strongSell":1}
JNJ,1082,39,286,181,1.027,6.244386,16.994444,4.34,0.07870793,152.25,Healthcare,1/25/2021, 6:00:00 PM,{"period":"0m","strongBuy":4,"buy":8,"hold":8,"sell":2,"strongSell":1}
LDOS,1082,233,278,168,0.012,4.039235,16.318886,1.51,0.15037096,104.82,Technology,2/15/2021, 6:00:00 PM,{"period":"0m","strongBuy":4,"buy":6,"hold":0,"sell":0,"strongSell":0}
ORCL,1083,209,368,109,0.057,20.94333,13.291667,1.63,0.12261522,59.48,Technology,3/9/2021, 6:00:00 PM,{"period":"0m","strongBuy":10,"buy":16,"hold":9,"sell":0,"strongSell":1}
FRC,1087,130,200,273,0.248,2.3011787,21.971188,2.56,0.11817479,130.32,Financial Services,1/11/2021, 6:00:00 PM,{"period":"0m","strongBuy":3,"buy":6,"hold":13,"sell":0,"strongSell":0}
SNA,1089,194,398,151,0.092,2.7079494,15.72,1.68,0.056328177,180.78,Industrials,2/3/2021, 6:00:00 PM,{"period":"0m","strongBuy":5,"buy":2,"hold":2,"sell":0,"strongSell":0}
CE,1098,307,109,133,-0.213,6.1232123,14.427313,4.16,0.059185028,130.97,Basic Materials,1/27/2021, 6:00:00 PM,{"period":"0m","strongBuy":4,"buy":8,"hold":6,"sell":1,"strongSell":0}
